nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;pourcentageSubvention;type
Département de la Somme;22800001400016;2017/09/08;6.2;AILLY SUR NOYE;21800009900018;Création d'une aire de camping-cars au plan d'eau de Berny-sur-Noye, sur une assiette subventionnable estimée à 89 852 € HT;26 956,00;aide en numéraire;"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 5 % du montant prévisionnel de la subvention. Cette avance sera versée au vu d’une attestation de commencement des travaux ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.";2017/09/08_2021/09/07;1;investissement
Département de la Somme;22800001400016;2017/09/14;2.5;LA POSTE;35600000000048;subvention accordée par la CF pour la réalisation d'un observatoire des besoins en termes de services innovants;67 650,00;aide en numéraire;une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu'à hauteur de 50% du montant prévisionnel de la subvention. Des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 €. Le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.;2017/09/14_2019/09/13;1;fonctionnement
Département de la Somme;22800001400016;2017/09/14;2.5;SYNAPSE PICARDIE;51189363800011;subvention accordée par la CF pour l'accès au numérique des PA;80 000,00;aide en numéraire;une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu'à hauteur de 50% du montant prévisionnel de la subvention. Des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 €. Le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.;2017/09/14_2019/09/13;1;fonctionnement
Département de la Somme;22800001400016;2017/09/19;2.2;CC DU TERRITOIRE NORD PICARDIE;20007095100013;"action ""Chantier de la Citadelle et chantier du bâtiment""";50 000,00;aide en numéraire;"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.";2017/09/19_2019/09/18;1;fonctionnement
Département de la Somme;22800001400016;2017/09/19;2.2;VILLE D'AMIENS;21800019800018;"action """"Chantier de la citadelle""";160 000,00;aide en numéraire;"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.";2017/09/19_2019/09/18;1;fonctionnement
Département de la Somme;22800001400016;2017/09/19;4.3;CCIT LITTORAL HAUTS DE FRANCE ABBEVILLE;13002271800303;de la première phase des travaux d'aménagement du secteur pêche du port du Tréport;50 000,00;aide en numéraire;"une avance unique d’un maximum de 300 000 € peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 10% du montant prévisionnel de la subvention si le niveau des subventions publiques est supérieur à 70% de l’assiette subventionnable. Cette avance sera versée au vu d’une attestation de commencement des travaux ; des acomptes d’un minimum de 500 € peuvent lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées ; le solde, supérieur ou égal à 10% du montant de la subvention, sur production de l’ensemble des pièces justificatives.";2017/09/19_2021/09/18;1;investissement
Département de la Somme;22800001400016;2017/09/20;2.5;MENAGE SERVICE PARTICULIERS;33406938200037;subvention accordée par la CF 2017 pour l'élaboration d'un carnet d'échanges digitale;30 000,00;aide en numéraire;une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu'à hauteur de 50% du montant prévisionnel de la subvention. Des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 €. Le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.;2017/09/20_2019/09/19;1;fonctionnement
Département de la Somme;22800001400016;2017/09/20;2.5;UN PIED SUR LE TERRAIN;41031051000012;subvention accordée par la CF pour la promotion de l'activité physique adaptée et accès au numérique (jeu de l'oie, du chat et de l'écluse);32 000,00;aide en numéraire;une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu'à hauteur de 50% du montant prévisionnel de la subvention. Des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 €. Le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.;2017/09/20_2019/09/19;1;fonctionnement
Département de la Somme;22800001400016;2017/09/21;2.5;LE RESIDENTIEL NUMERIQUE;49934045300020;subvention accordée par la CF pour la création d'un réseau local (Faciliter l'accès des PA aux ressources du voisinage);67 730,00;aide en numéraire;une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu'à hauteur de 50% du montant prévisionnel de la subvention. Des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 €. Le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.;2017/09/21_2019/09/20;1;fonctionnement
Département de la Somme;22800001400016;2017/09/22;6.2;SAINT OUEN;21800670800018;Création d'une aire de camping-cars à Saint-Ouen, sur une assiette subventionnable estimée à 182 600 € HT;54 780,00;aide en numéraire;"Une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 5 % du montant prévisionnel de la subvention. Le montant minimum de cette avance est fixé à 2 739 €. Cette avance sera versée au vu d’une attestation de commencement des travaux. Des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subventio";2017/09/22_2021/09/21;1;investissement
